Aff,Neg,Judges,Votes,Result,"Aff								Points","Neg								Points"
Emory KG,Kansas RM,"Aaron Kall																																		John Turner																																		Bruce Najor","Aff																												Aff																												Aff","3-0																															AFF","Eugenia G																																																												29																																								29																																								29																																																																												Grace K																																																												29																																								29																																								29","Nate M																																																												29																																								29																																								29																																																																												Graham R																																																												29																																								29																																								29"
Samford GE,Wake Forest MK,"Devane Murphy																																		Kristen Lowe																																		Richard Garner","Neg																												Neg																												Neg","3-0																															NEG","Sawyer E																																																												29																																								0																																								29																																																																												Maddox G																																																												29																																								0																																								29","Ruby K																																																												29																																								0																																								29																																																																												Alex M																																																												29																																								0																																								29"
Rutgers-Newark AH,Northwestern LF,"Kevin Hirn																																		Sherry Hall																																		Mikaela Malsin","Neg																												Aff																												Neg","2-1																															NEG","David A																																																												29																																								29																																								30																																																																												ryan h																																																												29																																								29																																								29","Stephen L																																																												29																																								29																																								29																																																																												Nina F																																																												29																																								29																																								29"
Southern California KS,Kentucky EG,"Jeff Buntin																																		LaTonya Starks																																		Corey Fisher","Aff																												Aff																												Aff","3-0																															AFF","Julian K																																																												29																																								29																																								29																																																																												Kevin S																																																												29																																								29																																								29","Chris E																																																												29																																								29																																								29																																																																												David G																																																												29																																								29																																								29"
Dartmouth VT,,,Aff BYE,Aff BYE,,
