Aff,Neg,Judges,Votes,Result,"Aff								Points","Neg								Points"
Wake Forest MK,Emory KG,"Elijah Smith																																		william repko																																		Allie Chase","Neg																												Aff																												Neg","2-1																															NEG","Ruby K																																																												29																																								29																																								29																																																																												Alex M																																																												29																																								29																																								29","Eugenia G																																																												29																																								29																																								29																																																																												Grace K																																																												29																																								29																																								29"
Kansas RM,Northwestern LF,"Taylor Brough																																		Erik Mathis																																		Corey Fisher","Aff																												Neg																												Neg","2-1																															NEG","Nate M																																																												29																																								29																																								29																																																																												Graham R																																																												29																																								29																																								29","Stephen L																																																												29																																								29																																								29																																																																												Nina F																																																												29																																								29																																								29"
Rutgers-Newark AH,Samford GE,"John Turner																																		LaTonya Starks																																		Sean Kennedy","Aff																												Aff																												Aff","3-0																															AFF","David A																																																												29																																								0																																								29																																																																												ryan h																																																												29																																								0																																								29","Sawyer E																																																												28																																								0																																								29																																																																												Maddox G																																																												28																																								0																																								29"
Kentucky EG,Dartmouth VT,"Aaron Kall																																		Devane Murphy																																		Maggie Solice","Neg																												Neg																												Neg","3-0																															NEG","Chris E																																																												29																																								29																																								29																																																																												David G																																																												29																																								29																																								29","Raam T																																																												29																																								29																																								30																																																																												Tyler V																																																												29																																								29																																								30"
Southern California KS,,,Aff BYE,Aff BYE,,
