Aff,Neg,Judges,Votes,Result,"Aff								Points","Neg								Points"
Emory KG,Northwestern LF,"Devane Murphy																																		Tripp Rebrovick																																		Dallas Perkins","Aff																												Aff																												Aff","3-0																															AFF","Eugenia G																																																												29																																								29																																								29																																																																												Grace K																																																												29																																								29																																								29","Stephen L																																																												29																																								29																																								29																																																																												Nina F																																																												29																																								29																																								29"
Kansas RM,Kentucky EG,"Rebecca Steiner																																		Shanara Reid-Brinkley																																		Mikaela Malsin","Neg																												Aff																												Neg","2-1																															NEG","Nate M																																																												29																																								29																																								29																																																																												Graham R																																																												29																																								29																																								29","Chris E																																																												29																																								29																																								29																																																																												David G																																																												29																																								29																																								29"
Dartmouth VT,Samford GE,"Elijah Smith																																		Brendon Bankey																																		Jyleesa Hampton","Aff																												Aff																												Aff","3-0																															AFF","Raam T																																																												0																																								30																																								29																																																																												Tyler V																																																												0																																								29																																								29","Sawyer E																																																												0																																								29																																								29																																																																												Maddox G																																																												0																																								28																																								29"
Wake Forest MK,Southern California KS,"John Turner																																		Kevin Hirn																																		Young Kwon","Aff																												Neg																												Aff","2-1																															AFF","Ruby K																																																												29																																								29																																								29																																																																												Alex M																																																												29																																								29																																								29","Julian K																																																												29																																								29																																								30																																																																												Kevin S																																																												29																																								29																																								29"
Rutgers-Newark AH,,,Aff BYE,Aff BYE,,
