Aff,Neg,Judge,Result,"Aff								Points & Ranks","Neg								Points & Ranks"
Columbia/Boston Uni PC,,,,,
James Madison HS,Minnesota/Columbia JD,Juan Garcia-Lugo,Neg,"Ashley H																																																												29																																																														3																																																																												Aubree S																																																												29																																																														4","Nolan J																																																												30																																																														2																																																																												Amadea D																																																												30																																																														1"
Georgetown LN,George Mason JT,Ashley Denney,Aff,"Kieran L																																																												29																																																														1																																																																												Ernest N																																																												28																																																														4","Mack T																																																												28																																																														2																																																																												Shahd J																																																												28																																																														3"
Minnesota PR,UT Dallas PK,Lindsey Shook,Aff,"Bryce R																																																												29																																																														1																																																																												Owen P																																																												29																																																														3","Rahul K																																																												29																																																														2																																																																												Krish P																																																												28																																																														4"
Indiana OJ,NYU HP,Phil Samuels,Neg,"Janet O																																																												28																																																														2																																																																												Aryan J																																																												28																																																														4","Faizan H																																																												28																																																														3																																																																												Maggie P																																																												28																																																														1"
Wyoming PP,Minnesota FM,Jackie Poapst,Neg,"Jaxon P																																																												29																																																														3																																																																												Ec P																																																												29																																																														4","Peter M																																																												29																																																														2																																																																												Jordan F																																																												29																																																														1"
Wyoming GK,Florida KM,Ian Lowery,Neg,"Calvin G																																																												29																																																														3																																																																												Mack K																																																												29																																																														4","Charles K																																																												29																																																														2																																																																												Ashwin M																																																												29																																																														1"
Kansas State TT,UT San Antonio UW,Lawrence Zhou,Neg,"Ben T																																																												29																																																														1																																																																												Trevor T																																																												28																																																														2","Charlie W																																																												28																																																														3																																																																												Ananya U																																																												28																																																														4"
Michigan State KS,Cal State Fullerton JK,Jada Stinnett,Aff,"Mitchell S																																																												29																																																														2																																																																												David K																																																												29																																																														1","Harut K																																																												29																																																														3																																																																												Evan J																																																												29																																																														4"
Binghamton PP,UT Dallas LM,Deven Cooper,Neg,"Harrison P																																																												28																																																														3																																																																												Rosalisy P																																																												28																																																														2","Storm L																																																												28																																																														4																																																																												Hasan M																																																												29																																																														1"
