Aff,Neg,Judges,Votes,Result,"Aff								Points","Neg								Points"
Kentucky EG,Emory KG,"Kevin Hirn																																		Sean Kennedy																																		Brendon Bankey","Neg																												Neg																												Neg","3-0																															NEG","Chris E																																																												29																																								29																																								29																																																																												David G																																																												29																																								29																																								29","Eugenia G																																																												29																																								29																																								29																																																																												Grace K																																																												29																																								29																																								29"
Wake Forest MK,Kansas RM,"Lincoln Garrett																																		Jeff Buntin																																		Daniel Fitzmier","Neg																												Neg																												Neg","3-0																															NEG","Ruby K																																																												30																																								29																																								29																																																																												Alex M																																																												29																																								29																																								29","Nate M																																																												30																																								30																																								29																																																																												Graham R																																																												29																																								29																																								29"
Rutgers-Newark AH,Dartmouth VT,"Rebecca Steiner																																		Bruce Najor																																		Brian Rubaie","Neg																												Neg																												Neg","3-0																															NEG","David A																																																												29																																								30																																								30																																																																												ryan h																																																												29																																								29																																								30","Raam T																																																												29																																								30																																								30																																																																												Tyler V																																																												29																																								30																																								30"
Northwestern LF,Southern California KS,"Aaron Kall																																		Allison Harper																																		Michael Klinger","Aff																												Aff																												Aff","3-0																															AFF","Stephen L																																																												29																																								29																																								29																																																																												Nina F																																																												29																																								29																																								30","Julian K																																																												29																																								29																																								29																																																																												Kevin S																																																												29																																								29																																								29"
Samford GE,,,,,,
